cell_id,temperature_C,c_rate,stress_group,cycle,true_capacity_retention,capacity_retention
CELL_001,25,0.5,low_temp / low_crate,0,0.997920031787519,1.0005466109728416
CELL_001,25,0.5,low_temp / low_crate,25,0.9954406541628671,0.9987326306702363
CELL_001,25,0.5,low_temp / low_crate,50,0.992833228078674,0.9860046049183856
CELL_001,25,0.5,low_temp / low_crate,75,0.9901258461585916,0.9855682178845735
CELL_001,25,0.5,low_temp / low_crate,100,0.9873303936973811,0.9877778351084666
CELL_001,25,0.5,low_temp / low_crate,125,0.9844542859004574,0.9833474368272548
CELL_001,25,0.5,low_temp / low_crate,150,0.9815028018471644,0.9814439977958994
CELL_001,25,0.5,low_temp / low_crate,175,0.9784799824347259,0.9754943286882184
CELL_001,25,0.5,low_temp / low_crate,200,0.9753890679646288,0.9784669608766486
CELL_001,25,0.5,low_temp / low_crate,225,0.9722327426263794,0.9749550144003807
CELL_001,25,0.5,low_temp / low_crate,250,0.9690132841232457,0.96924439156471
CELL_001,25,0.5,low_temp / low_crate,275,0.9657326614581823,0.9696780056825703
CELL_001,25,0.5,low_temp / low_crate,300,0.9623926021024053,0.9640288848002875
CELL_001,25,0.5,low_temp / low_crate,325,0.9589946399748311,0.9559871163547398
CELL_001,25,0.5,low_temp / low_crate,350,0.9555401508159211,0.9568307785602099
CELL_001,25,0.5,low_temp / low_crate,375,0.9520303789580289,0.9486742898551274
CELL_001,25,0.5,low_temp / low_crate,400,0.9484664580343843,0.9515410340889598
CELL_001,25,0.5,low_temp / low_crate,425,0.9448494273017455,0.9446746866132936
CELL_001,25,0.5,low_temp / low_crate,450,0.9411802447152297,0.9405332264428212
CELL_001,25,0.5,low_temp / low_crate,475,0.9374597975500844,0.9350765441446706
CELL_001,25,0.5,low_temp / low_crate,500,0.9336889111382081,0.9379678058235672
CELL_001,25,0.5,low_temp / low_crate,525,0.9298683561334171,0.9293275029461763
CELL_001,25,0.5,low_temp / low_crate,550,0.9259988546127917,0.9244997072352209
CELL_001,25,0.5,low_temp / low_crate,575,0.9220810852459295,0.9208486178192207
CELL_001,25,0.5,low_temp / low_crate,600,0.9181156877095213,0.9199787698589581
CELL_001,25,0.5,low_temp / low_crate,625,0.9141032664847869,0.9153823207100612
CELL_001,25,0.5,low_temp / low_crate,650,0.9100443941456592,0.9114889582862451
CELL_001,25,0.5,low_temp / low_crate,675,0.9059396142232589,0.9074474877337865
CELL_001,25,0.5,low_temp / low_crate,700,0.9017894437151511,0.9092852103181978
CELL_001,25,0.5,low_temp / low_crate,725,0.8975943752947204,0.8961719227373742
CELL_001,25,0.5,low_temp / low_crate,750,0.8933548792657421,0.8915620297139917
CELL_001,25,0.5,low_temp / low_crate,775,0.8890714052991594,0.8862232007502918
CELL_001,25,0.5,low_temp / low_crate,800,0.8847443839826618,0.886900311961676
CELL_001,25,0.5,low_temp / low_crate,825,0.8803742282085307,0.8843256312330539
CELL_001,25,0.5,low_temp / low_crate,850,0.8759613344210788,0.8755625183192868
CELL_001,25,0.5,low_temp / low_crate,875,0.8715060837416441,0.8685655360722753
CELL_001,25,0.5,low_temp / low_crate,900,0.8670088429863516,0.8641231587314323
CELL_001,25,0.5,low_temp / low_crate,925,0.8624699655895883,0.8647470403469748
CELL_001,25,0.5,low_temp / low_crate,950,0.8578897924442649,0.860491182043477
